area,count_births,count_deaths,count_pop,count_breastf,count_job_seekers,ratio_low_birthweight,ratio_hosp__acc_adm,ratio_hosp_planned_adm,ratio_fires,ratio_dis_allow,count_house_sales,house_sales_prices_mean
Kyle,113,139,12093,55,305,1.72E0,1410,12438,3.94E1,7.0473E3,147,137524
Landward Caithness,92,88,11108,47,225,4.0E-1,1106,13519,34,5.8565E3,104,112540
Langside,315,186,22553,190,600,1.46E0,1034,12327,1.082E2,5.4518E3,393,113391
Larkhall  ,201,195,18553,46,705,1.38E0,1068,14568,4.32E1,9.5397E3,153,100718
Leaderdale and Melrose,211,106,10592,48,145,1.29E0,1337,10360,5.61E1,4.3413E3,100,194568
Leith  ,408,226,25194,296,990,1.61E0,1270,8387,2.262E2,5.9998E3,352,156968
Leith Walk,406,237,32455,362,1025,1.5E0,1113,7525,2.108E2,3939,524,161177
Lenzie and Kirkintilloch South,146,100,13591,65,240,2.79E0,1256,16471,8.97E1,5.0376E3,155,214426
Lerwick North,44,32,2211,25,50,3.9E0,1605,15828,7.29E1,5.7143E3,25,117493
Lerwick South,55,45,6215,40,60,1.12E0,1456,15310,5.46E1,3.9721E3,54,147408
Leven  ,245,181,18309,60,825,2.53E0,1340,17630,5.54E1,8.8216E3,117,90916
"Leven, Kennoway and Largo",173,221,19166,65,530,2.26E0,1331,11598,7.28E1,7.4802E3,247,124946
Liberton / Gilmerton,429,443,32751,258,1035,2.68E0,1550,11366,6.69E1,7.4634E3,332,161346
Linlithgow,148,141,16091,104,270,2.22E0,1172,10434,1.197E2,3.6921E3,186,203639
Linn,368,316,28894,128,1255,2.17E0,1332,15989,1.038E2,1.05742E4,221,118131
Livingston North,318,102,23577,126,475,1.47E0,1194,8441,6.61E1,6.2856E3,179,133767
Livingston South,245,222,23881,125,675,2.31E0,1266,8234,1.019E2,7.3623E3,230,142514
Loch a Tuath,32,24,2757,16,30,1.27E0,1185,12644,1.078E2,4804,24,103038
Lochar,118,88,11907,47,195,1.23E0,1163,12404,2.62E1,5.7487E3,148,145126
Lochee,260,253,19006,105,940,2.79E0,1468,8576,1.886E2,9.2149E3,199,128748
Lochgelly and Cardenden,165,163,12872,60,550,2.09E0,1518,13298,68,9.7826E3,123,91795
Lomond  ,121,118,11697,37,420,1.56E0,1436,18255,4.46E1,9424,110,130411
Lomond North,73,92,8573,35,160,1.32E0,1276,19489,4.91E1,4.2224E3,101,156154
Lower Braes,164,147,14241,52,300,2.54E0,903,6601,2.72E1,5.5446E3,172,119604
Lower Deeside,120,179,15274,93,50,9.2E-1,1239,10201,5.21E1,2.7275E3,245,316774
Maryfield,212,170,18116,132,885,1.7E0,1234,6223,1.891E2,7.0004E3,210,98438
Maryhill / Kelvin,338,341,28440,147,1185,2.65E0,1462,14627,1.255E2,8.6435E3,252,141335
"Maybole, North Carrick and Coylton",118,121,14443,41,375,1.63E0,1491,14648,9.06E1,6.6336E3,137,124945
Meadows / Morningside,276,249,35261,241,505,8.1E-1,1022,6622,9.71E1,2118,555,280195
Mearns,183,124,15228,94,125,1.18E0,952,9326,5.56E1,3.5396E3,216,191951
Mid Argyll ,60,83,7702,26,135,1.89E0,1416,16392,39,4.4849E3,88,147953
Mid Berwickshire,77,95,10284,38,155,1.4E0,1185,10343,1.133E2,4.9854E3,90,172157
Mid Formartine,187,78,16788,95,80,6.4E-1,958,9366,5.19E1,2973,217,221643
Mid Galloway,92,132,9659,32,220,7.8E-1,1407,13611,9.31E1,8.5183E3,96,114928
Mid and Upper Nithsdale,99,173,11351,55,315,3,1169,12224,3.87E1,7.7358E3,86,153552
Midlothian East,215,138,15300,90,420,2.07E0,1346,11230,1.095E2,6.5681E3,157,183629
Midlothian South,186,134,12675,78,435,2.49E0,1575,10337,1.108E2,8.4017E3,110,146531
Midlothian West,166,133,14352,82,290,2.08E0,1325,11276,9.81E1,6.0643E3,135,170838
Midstocket / Rosemount,174,149,14661,109,220,1.08E0,1285,9122,1.088E2,4.2686E3,361,193144
Milngavie,99,139,13595,66,170,3.4E-1,1204,17968,6.65E1,4.0164E3,179,205855
Monifeith and Sidlaw,152,198,15978,70,165,1.65E0,1062,8452,30,4.4689E3,180,171742
Montrose and District,171,172,16021,73,310,1.65E0,1218,7383,5.62E1,5.8526E3,190,137534
Mossend and Holytown,128,130,12801,31,670,3.22E0,938,13394,1.154E2,8.5064E3,121,92908
Motherwell North,215,148,18410,51,660,2.23E0,1194,13929,48,8.2195E3,113,102982
Motherwell South East and Ravenscraig,243,181,17567,48,870,2.43E0,1200,15398,1.219E2,9.6521E3,174,148189
Motherwell West,149,159,14297,53,535,1.5E0,806,13360,7.71E1,7.7724E3,131,101344
